Marker,Time_stamp
wait,79993.76858666619
wait,79993.7685998662
wait,79993.7686109662
wait,79993.7686231662
wait,79993.76863396622
wait,79993.76864626621
wait,79993.76865726622
wait,79993.76866876624
wait,79993.76868116623
wait,79993.76869166624
wait,79993.76870416624
wait,79993.76871506624
wait,79993.76872716624
wait,79993.76873886626
wait,79993.76874916627
wait,79993.76876136626
wait,79993.76877336628
wait,79993.76878656627
wait,79993.76880296628
wait,79993.7688160663
wait,79993.76882836629
wait,79993.7688454663
wait,79993.76886626631
wait,79993.76888466632
wait,79993.76889906633
wait,79993.76891276633
wait,79993.76892536633
wait,79993.76893756635
wait,79993.76894806634
wait,79993.76895986634
wait,79993.76897036636
wait,79993.76898216637
wait,79993.76899486636
wait,79993.76901346637
wait,79993.76903266637
wait,79993.76904586639
wait,79993.76906586639
wait,79993.7690882664
wait,79993.76910636642
wait,79993.76912876642
wait,79993.76914186643
wait,79993.76915446643
wait,79993.76916636643
wait,79993.76917776644
wait,79993.76919006645
wait,79993.76920076644
wait,79993.76921336647
wait,79993.76922466647
wait,79993.76923696646
wait,79993.76924836647
wait,79993.76926016647
wait,79993.76927316647
wait,79993.76928666649
wait,79993.7693012665
wait,79993.7693136665
wait,79993.7693272665
wait,79993.76934426652
wait,79993.76936866652
wait,79993.76938796653
wait,79993.76940656654
wait,79993.76941966655
wait,79993.76943736654
wait,79993.76945906656
wait,79993.76947356657
wait,79993.76948776658
wait,79993.76950186658
wait,79993.76951456658
wait,79993.7695261666
wait,79993.7695364666
wait,79993.76954816659
wait,79993.7695582666
wait,79993.7695698666
wait,79993.76958186661
wait,79993.76960256662
wait,79993.76961946664
wait,79993.76963216664
wait,79993.76965226664
wait,79993.76967436665
wait,79993.76969316667
wait,79993.76971566667
wait,79993.76972936669
wait,79993.76974186668
wait,79993.76975386668
wait,79993.7697647667
wait,79993.76977786669
wait,79993.7697883667
wait,79993.76980356671
wait,79993.7698140667
wait,79993.76982546672
wait,79993.76984276672
wait,79993.76985556673
wait,79993.76986736673
wait,79993.76988056675
wait,79993.76989426675
wait,79993.76990496676
wait,79993.76991816676
wait,79993.76993816676
wait,79993.76996046677
wait,79993.76998006678
wait,79993.7699979668
wait,79993.7700105668
wait,79993.7700235668
wait,79993.77003516682
wait,79993.77004916681
wait,79993.77006216682
wait,79993.77007456683
wait,79993.77008546682
wait,79993.77009796684
wait,79993.77010866684
wait,79993.77011926685
wait,79993.77013296685
wait,79993.77014586686
wait,79993.77017046687
wait,79993.77018556687
wait,79993.77019996686
wait,79993.77021666689
wait,79993.7702386669
wait,79993.7702512669
wait,79993.7702645669
wait,79993.77027566692
wait,79993.77028766692
wait,79993.77030156691
wait,79993.77031226693
wait,79993.77032456693
wait,79993.77033576692
wait,79993.77034826695
wait,79993.77035926694
wait,79993.77037126695
wait,79993.77038366695
wait,79993.77039766696
wait,79993.77041246697
wait,79993.77042416697
wait,79993.77043766697
wait,79993.77045716699
wait,79993.770479367
wait,79993.770498967
wait,79993.77051676702
wait,79993.77052896701
wait,79993.77054206701
wait,79993.77055356702
wait,79993.77056806703
wait,79993.77058086704
wait,79993.77059376704
wait,79993.77060476705
wait,79993.77061646705
wait,79993.77062826706
wait,79993.77063936705
wait,79993.77065276707
wait,79993.77066906707
wait,79993.77069136708
wait,79993.77070526709
wait,79993.77071936711
wait,79993.77073846711
wait,79993.77075796711
wait,79993.77077096712
wait,79993.77078396713
wait,79993.77079846713
wait,79993.77081166713
wait,79993.77082466715
wait,79993.77084806714
wait,79993.77086326716
wait,79993.77087816717
wait,79993.77090126717
wait,79993.77091756718
wait,79993.77092896719
wait,79993.7709411672
wait,79993.77095206719
wait,79993.77096406721
wait,79993.7709758672
wait,79993.77098656721
wait,79993.77099856723
wait,79993.77100866722
wait,79993.77102076722
wait,79993.77103156723
wait,79993.77104576724
wait,79993.77105836725
wait,79993.77106996725
wait,79993.77108346725
wait,79993.77110116727
wait,79993.77112346726
wait,79993.77113766728
wait,79993.77114926728
wait,79993.7711606673
wait,79993.77117266729
wait,79993.7711835673
wait,79993.7711961673
wait,79993.7712116673
wait,79993.77123416732
wait,79993.77124926732
wait,79993.77126266733
wait,79993.77127876734
wait,79993.77130136735
wait,79993.77131536735
wait,79993.77132956735
wait,79993.77134136736
wait,79993.77135426736
wait,79993.77136856738
wait,79993.77138246738
wait,79993.77139476738
wait,79993.7714053674
wait,79993.77141786739
wait,79993.7714284674
wait,79993.77144116741
wait,79993.7714520674
wait,79993.7714633674
wait,79993.77147556742
wait,79993.77148566743
wait,79993.77149746742
wait,79993.77150796744
wait,79993.77152036743
wait,79993.77153286744
wait,79993.77155446746
wait,79993.77157126747
wait,79993.77158446747
wait,79993.77160706748
wait,79993.77162776748
wait,79993.7716420675
wait,79993.7716556675
wait,79993.7716664675
wait,79993.77167886752
wait,79993.77168966751
wait,79993.77170056751
wait,79993.77171436753
wait,79993.77172756752
wait,79993.77174776755
wait,79993.77176866755
wait,79993.77178506755
wait,79993.77180006755
wait,79993.77182406757
wait,79993.77184056757
wait,79993.77185506758
wait,79993.77186786759
wait,79993.77187866758
wait,79993.7718910676
wait,79993.7719020676
wait,79993.77191536762
wait,79993.7719275676
wait,79993.77193936761
wait,79993.77195096762
wait,79993.77196106763
wait,79993.77197246763
wait,79993.77198266765
wait,79993.77199396765
wait,79993.77200556765
wait,79993.77201616764
wait,79993.77202806766
wait,79993.77203836765
wait,79993.77204956766
wait,79993.77206066767
wait,79993.77207226767
wait,79993.77208456767
wait,79993.77209766768
wait,79993.77211036769
wait,79993.7721220677
wait,79993.7721446677
wait,79993.77215976772
wait,79993.77217416771
wait,79993.77224016775
wait,79993.77225566775
wait,79993.77226786775
wait,79993.77228126775
wait,79993.77229416778
wait,79993.77230866777
wait,79993.77232186777
wait,79993.77233526779
wait,79993.77234936779
wait,79993.7723639678
wait,79993.7723776678
wait,79993.7723911678
wait,79993.77240356781
wait,79993.77241736781
wait,79993.77242996784
wait,79993.77244476783
wait,79993.77245816783
wait,79993.77247226784
wait,79993.77248426784
wait,79993.77249706785
wait,79993.77251016787
wait,79993.77252226786
wait,79993.77253536787
wait,79993.77254746787
wait,79993.77256056787
wait,79993.77257216789
wait,79993.77258496788
wait,79993.7725978679
wait,79993.7726124679
wait,79993.7726270679
wait,79993.77264096792
wait,79993.77265496792
wait,79993.77268076793
wait,79993.77269986793
wait,79993.77272136795
wait,79993.77273566795
wait,79993.77275506796
wait,79993.77277696798
wait,79993.77279326797
wait,79993.772806068
wait,79993.77281816798
wait,79993.77283156799
wait,79993.77284446801
wait,79993.772856468
wait,79993.772868568
wait,79993.77288446802
wait,79993.77290956804
wait,79993.77292886803
wait,79993.77294996804
wait,79993.77297326805
wait,79993.77299766806
wait,79993.77301876807
wait,79993.77303486808
wait,79993.77304766809
wait,79993.77307026809
wait,79993.77309106811
wait,79993.7731036681
wait,79993.77311696812
wait,79993.77312846812
wait,79993.77314026812
wait,79993.77315246813
wait,79993.77316306814
wait,79993.77317516814
wait,79993.77318626815
wait,79993.77319846814
wait,79993.77320976814
wait,79993.77322046817
wait,79993.77323336816
wait,79993.77324546817
wait,79993.77326006818
wait,79993.77327206818
wait,79993.7732853682
wait,79993.77330156819
wait,79993.77332566821
wait,79993.7733460682
wait,79993.77336316822
wait,79993.77337676822
wait,79993.77339946823
wait,79993.77341766824
wait,79993.77342936826
wait,79993.77344196825
wait,79993.77345276825
wait,79993.77346436826
wait,79993.77347596826
wait,79993.77348936826
wait,79993.77350556829
wait,79993.7735287683
wait,79993.7735504683
wait,79993.77356636831
wait,79993.77357836832
wait,79993.77359246831
wait,79993.77360416832
wait,79993.77361506832
wait,79993.77362586833
wait,79993.77363676834
wait,79993.77364746833
wait,79993.77365816834
wait,79993.77366886835
wait,79993.77367936836
wait,79993.77369006835
wait,79993.77370086838
wait,79993.77371116837
wait,79993.77372166837
wait,79993.77373216838
wait,79993.77374356838
wait,79993.77375426839
wait,79993.7737645684
wait,79993.7737780684
wait,79993.7737961684
wait,79993.77380686841
wait,79993.77381796841
wait,79993.77382806841
wait,79993.77383796843
wait,79993.77384776843
wait,79993.77385806842
wait,79993.77386876845
wait,79993.77387886844
wait,79993.77388896844
wait,79993.77389876844
wait,79993.77390906846
wait,79993.77391966846
wait,79993.77392956846
wait,79993.77393926847
wait,79993.77394886847
wait,79993.77395946847
wait,79993.77396996849
wait,79993.77398006848
wait,79993.77398996848
wait,79993.77399976848
wait,79993.7740103685
wait,79993.7740210685
wait,79993.7740309685
wait,79993.77404076852
wait,79993.77405066851
wait,79993.77406176852
wait,79993.77407236853
wait,79993.77408236853
wait,79993.77409216853
wait,79993.77410256852
wait,79993.77411336855
wait,79993.77412356854
wait,79993.77413346854
wait,79993.77414326856
wait,79993.77415376857
wait,79993.77416436856
wait,79993.77417426856
wait,79993.77418416858
wait,79993.77419436857
wait,79993.77420526858
wait,79993.77421566859
wait,79993.77422546859
wait,79993.77423526859
wait,79993.7742459686
wait,79993.7742563686
wait,79993.7742669686
wait,79993.7742768686
wait,79993.77428686862
wait,79993.77429736861
wait,79993.77430736861
wait,79993.77431746863
wait,79993.77432716863
wait,79993.77433776863
wait,79993.77434866865
wait,79993.77435856864
wait,79993.77436846864
wait,79993.77437826864
wait,79993.77438896865
wait,79993.77439896866
wait,79993.77440886866
wait,79993.77441886868
wait,79993.77442906867
wait,79993.77443946867
wait,79993.77444936869
wait,79993.7744592687
wait,79993.77446916868
wait,79993.77447966869
wait,79993.77448976871
wait,79993.77449956871
wait,79993.7745095687
wait,79993.77451996872
wait,79993.77453036871
wait,79993.77454216871
wait,79993.77455236873
wait,79993.77456206873
wait,79993.77457246873
wait,79993.77458276873
wait,79993.77459266875
wait,79993.77460256875
wait,79993.77461266874
wait,79993.77462326876
wait,79993.77463326877
wait,79993.77464326876
wait,79993.77465316876
wait,79993.77466376878
wait,79993.77467376877
wait,79993.77468376877
wait,79993.77469346879
wait,79993.7747038688
wait,79993.77471426879
wait,79993.7747241688
wait,79993.7747338688
wait,79993.77474386881
wait,79993.7747546688
wait,79993.77476486882
wait,79993.77477726882
wait,79993.77478726882
wait,79993.77479766884
wait,79993.77480796883
wait,79993.77481786883
wait,79993.77482776885
wait,79993.77483826884
wait,79993.77484876885
wait,79993.77485846885
wait,79993.77486826887
wait,79993.77487806887
wait,79993.77488876886
wait,79993.77489886888
wait,79993.77490886887
wait,79993.77491866887
wait,79993.7749291689
wait,79993.77493936889
wait,79993.77494936889
wait,79993.77495926889
wait,79993.77496936891
wait,79993.7749801689
wait,79993.77499046891
wait,79993.77500016893
wait,79993.77500996893
wait,79993.77502066892
wait,79993.77503096893
wait,79993.77504086893
wait,79993.77505066893
wait,79993.77506106894
wait,79993.77507136895
wait,79993.77508126895
wait,79993.77509096895
wait,79993.77510116897
wait,79993.77511176896
wait,79993.77512166896
wait,79993.77513156897
wait,79993.77514146898
wait,79993.77515206898
wait,79993.77516216898
wait,79993.775171969
wait,79993.775181969
wait,79993.775192369
wait,79993.775202569
wait,79993.775212669
wait,79993.775222469
wait,79993.77523266901
wait,79993.77524326902
wait,79993.77525856902
wait,79993.77526866902
wait,79993.77527896904
wait,79993.77528946903
wait,79993.77529946904
wait,79993.77530906905
wait,79993.77531906906
wait,79993.77532976905
wait,79993.77533996907
wait,79993.77534976907
wait,79993.77536006906
wait,79993.77537026907
wait,79993.77538036909
wait,79993.77539006909
wait,79993.77540106908
wait,79993.7754110691
wait,79993.7754220691
wait,79993.7754320691
wait,79993.7754418691
wait,79993.7754517691
wait,79993.77546256912
wait,79993.7754728691
wait,79993.77548276912
wait,79993.77549266913
wait,79993.77550296913
wait,79993.77551356914
wait,79993.77552376915
wait,79993.77553356915
wait,79993.77554346914
wait,79993.77555436916
wait,79993.77556446915
wait,79993.77557416915
wait,79993.77558386917
wait,79993.77559456918
wait,79993.77560476917
wait,79993.77561456918
wait,79993.77562466919
wait,79993.77563516918
wait,79993.77564536918
wait,79993.7756553692
wait,79993.7756651692
wait,79993.7756753692
wait,79993.77568766921
wait,79993.77569816921
wait,79993.77570816921
wait,79993.77571776923
wait,79993.77572826923
